name,text,treatment
women,"Women should have the right to choose to have an abortion.",polarizing
immigration,"Immigrants today are a burden on our country because they take our jobs, housing and healthcare.",polarizing
books,"Physical books are preferable to e-books for recreational reading.",neutral
cars,"In the future, self-driving cars are preferable to human-driven cars.",neutral
climate_change,"Climate change is an immediate crisis that demands radical changes in our lifestyles, even if it means sacrificing personal conveniences.",polarizing
healthy_eating,"People should be encouraged to eat more fruits and vegetables as part of a healthy diet.",neutral
